全国地方公共団体コード	路線ID	路線名	バス停ID	バス停名	便名	行先	発車予定時刻	運行情報	備考	
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	１便	下半田川町民会館	7:40			SMHU00
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	２便	下半田川町民会館	9:04			
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	３便	下半田川町民会館	10:40			
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	４便	下半田川町民会館	12:18			
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	５便	下半田川町民会館	14:40			
23204	SMHU00	下半田川線（上り）	SMHU01	妻之神	６便	下半田川町民会館	16:05			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	１便	下半田川町	7:40			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	２便	下半田川町	9:04			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	３便	下半田川町	10:40			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	４便	下半田川町	12:18			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	５便	下半田川町	14:40			
23204	SMHU00	下半田川線（上り）	SMHU02	下半田川町民会館	６便	下半田川町	16:05			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	１便	掛川小学校	7:41			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	２便	掛川小学校	9:05			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	３便	掛川小学校	10:41			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	４便	掛川小学校	12:19			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	５便	掛川小学校	14:41			
23204	SMHU00	下半田川線（上り）	SMHU03	下半田川町	６便	掛川小学校	16:06			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	１便	定光寺町東	7:42			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	２便	定光寺町東	9:06			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	３便	定光寺町東	10:42			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	４便	定光寺町東	12:20			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	５便	定光寺町東	14:42			
23204	SMHU00	下半田川線（上り）	SMHU04	掛川小学校	６便	定光寺町東	16:07			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	１便	定光寺町民会館	7:43			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	２便	定光寺町民会館	9:07			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	３便	定光寺町民会館	10:43			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	４便	定光寺町民会館	12:21			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	５便	定光寺町民会館	14:43			
23204	SMHU00	下半田川線（上り）	SMHU05	定光寺町東	６便	定光寺町民会館	16:08			
23204	SMHU00	下半田川線（上り）	SMHU06	定光寺町民会館	１便	定光寺公園	7:44			
23204	SMHU00	下半田川線（上り）	SMHU06	定光寺町民会館	２便	定光寺公園	9:08			
23204	SMHU00	下半田川線（上り）	SMHU06	定光寺町民会館	３便	定光寺公園	10:44			
23204	SMHU00	下半田川線（上り）	SMHU06	定光寺町民会館	４便	定光寺公園	12:22			
23204	SMHU00	下半田川線（上り）	SMHU06	定光寺町民会館	５便	定光寺公園	14:44			
